LINHA;NOME DA ESTAÇÃO;SIGLA DA ESTAÇÃO;DESCRIÇÃO DO PRODUTO;GRUPO v1;GRUPO;LOCALIZACAO;Codigo;Codigov2;;PAINEL
2;ESTACAO ANA ROSA              ;ANR;CLÁSSICO MEZANINO LIVRE;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO LIVRE;ANR-MLC-1;ANR-MLC-1;x;
2;ESTACAO ANA ROSA              ;ANR;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;ANR-MPS-7;ANR-MPS-7;;
2;ESTACAO ANA ROSA              ;ANR;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;ANR-MLS-3;ANR-MLS-3;;
2;ESTACAO ANA ROSA              ;ANR;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;ANR-MPS-4;ANR-MPS-4;;
2;ESTACAO ANA ROSA              ;ANR;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;ANR-MPS-9;ANR-MPS-9;;
2;ESTACAO ANA ROSA              ;ANR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;ANR-PS -4;ANR-PS-4;;
2;ESTACAO ANA ROSA              ;ANR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;ANR-PS -7;ANR-PS-7;;
2;ESTACAO ANA ROSA              ;ANR;CLÁSSICO ACESSO;CLÁSSICO;PAINEL CLÁSSICO;ACESSO;ANR-AC -1;ANR-AC-1;;
2;ESTACAO ANA ROSA              ;ANR;CLÁSSICO ACESSO;CLÁSSICO;PAINEL CLÁSSICO;ACESSO;ANR-AP -1;ANR-AP-1;;
2;ESTACAO ANA ROSA              ;ANR;CLÁSSICO ACESSO;CLÁSSICO;PAINEL CLÁSSICO;ACESSO;ANR-AP -2;ANR-AP-2;;
2;ESTACAO ANA ROSA              ;ANR;CLÁSSICO MEZANINO LIVRE;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO LIVRE;ANR-MLP-3;ANR-MLP-3;;
2;ESTACAO ANA ROSA              ;ANR;CLÁSSICO MEZANINO;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO;ANR-MPP-3;ANR-MPP-3;;
2;ESTACAO ANA ROSA              ;ANR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;ANR-PS -1;ANR-PS-1;;
2;ESTACAO ANA ROSA              ;ANR;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;ANR-MLS-2;ANR-MLS-2;;
2;ESTACAO ANA ROSA              ;ANR;CLÁSSICO MEZANINO;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO;ANR-MPP-4;ANR-MPP-4;;
2;ESTACAO ANA ROSA              ;ANR;CLÁSSICO MEZANINO;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO;ANR-MPP-8;ANR-MPP-8;;
2;ESTACAO ANA ROSA              ;ANR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;ANR-PS -13;ANR-PS-13;;
2;ESTACAO ANA ROSA              ;ANR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;ANR-PS -5;ANR-PS-5;;
2;ESTACAO ANA ROSA              ;ANR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;ANR-PS -9;ANR-PS-9;;
2;ESTACAO ANA ROSA              ;ANR;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;ANR-AS -3;ANR-AS-3;;
2;ESTACAO ANA ROSA              ;ANR;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;ANR-MLS-4;ANR-MLS-4;;
2;ESTACAO ANA ROSA              ;ANR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;ANR-PS -11;ANR-PS-11;;
2;ESTACAO ANA ROSA              ;ANR;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;ANR-AS -1;ANR-AS-1;;
2;ESTACAO ANA ROSA              ;ANR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;ANR-PS -8;ANR-PS-8;;
2;ESTACAO ANHANGABAU            ;GBU;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;GBU-MLS-6;GBU-MLS-6;x;
2;ESTACAO ANHANGABAU            ;GBU;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;GBU-MPS-17;GBU-MPS-17;;
2;ESTACAO ANHANGABAU            ;GBU;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;GBU-PS -5;GBU-PS-5;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;GBU-AS -6;GBU-AS-6;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;GBU-MLS-13;GBU-MLS-13;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;GBU-PS -10;GBU-PS-10;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;GBU-PS -12;GBU-PS-12;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;GBU-PS -3;GBU-PS-3;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;GBU-PS -8;GBU-PS-8;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;GBU-PS -9;GBU-PS-9;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;GBU-MLS-15;GBU-MLS-15;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;GBU-MLS-5;GBU-MLS-5;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;GBU-MPS-15;GBU-MPS-15;;
3;ESTACAO ANHANGABAU            ;GBU;CLÁSSICO MEZANINO;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO;GBU-MPP-1;GBU-MPP-1;;
3;ESTACAO ANHANGABAU            ;GBU;CLÁSSICO MEZANINO;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO;GBU-MPP-2;GBU-MPP-2;;
3;ESTACAO ANHANGABAU            ;GBU;CLÁSSICO MEZANINO;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO;GBU-MPP-3;GBU-MPP-3;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;GBU-MLS-14;GBU-MLS-14;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;GBU-MLS-4;GBU-MLS-4;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;GBU-MPS-11;GBU-MPS-11;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;GBU-MPS-16;GBU-MPS-16;;
3;ESTACAO ANHANGABAU            ;GBU;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;GBU-PER-1;GBU-PER-1;;
3;ESTACAO ANHANGABAU            ;GBU;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;GBU-PER-2;GBU-PER-2;;
3;ESTACAO ANHANGABAU            ;GBU;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;GBU-PER-22;GBU-PER-22;;
3;ESTACAO ANHANGABAU            ;GBU;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;GBU-PER-23;GBU-PER-23;;
3;ESTACAO ANHANGABAU            ;GBU;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;GBU-PER-24;GBU-PER-24;;
3;ESTACAO ANHANGABAU            ;GBU;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;GBU-PER-25;GBU-PER-25;;
3;ESTACAO ANHANGABAU            ;GBU;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;GBU-PER-26;GBU-PER-26;;
3;ESTACAO ANHANGABAU            ;GBU;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;GBU-PER-3;GBU-PER-3;;
3;ESTACAO ANHANGABAU            ;GBU;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;GBU-PER-4;GBU-PER-4;;
3;ESTACAO ANHANGABAU            ;GBU;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;GBU-PER-5;GBU-PER-5;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;GBU-PS -1;GBU-PS-1;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;GBU-PS -13;GBU-PS-13;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;GBU-PS -6;GBU-PS-6;;
3;ESTACAO ANHANGABAU            ;GBU;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;GBU-PS -7;GBU-PS-7;;
3;ESTACAO ANHANGABAU            ;GBU;SUPERBACKLIGHT MEZANINO ;SUPERBACKLIGHT;PAINEL SUPERBACKLIGHT;MEZANINO ;GBU-MSB-1;GBU-MSB-1;;
1;ESTACAO ARMENIA               ;PPQ;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;PPQ-PS-5;PPQ-PS-5;x;
1;ESTACAO ARMENIA               ;PPQ;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;PPQ-PS -6- ;PPQ-PS-6;;
1;ESTACAO ARMENIA               ;PPQ;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;PPQ-PS -7;PPQ-PS-7;;
1;ESTACAO ARMENIA               ;PPQ;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;PPQ-MPS-2;PPQ-MPS-2;;
1;ESTACAO ARMENIA               ;PPQ;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;PPQ-MPS-3;PPQ-MPS-3;;
1;ESTACAO ARMENIA               ;PPQ;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;PPQ-PS -1;PPQ-PS-1;;
3;ESTACAO ARTUR ALVIM           ;ART;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;ART-PS -5;ART-PS-5;x;
3;ESTACAO ARTUR ALVIM           ;ART;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;ART-MPS-3;ART-MPS-3;;
3;ESTACAO ARTUR ALVIM           ;ART;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;ART-MPS-7;ART-MPS-7;;
